clause_number,clause_text
11,"11. Governing Law. This Agreement shall be interpreted in accordance with and
governed by the substantive and procedural laws of India and the parties hereby
consent to the jurisdiction of Courts and/or Forums situated at <Name of the
city>."
12,"12. Entire Agreement. This Agreement constitutes the entire understanding and
agreement between the parties, and supersedes all previous or
contemporaneous agreement or communications, both oral and written,
representations and under standings among the parties with respect to the
subject matter hereof."
13,"13. Amendments. No amendment, modification and/or discharge of this Agreement
shall be valid or binding on the parties unless made in writing and signed on
behalf of each of the parties by their respective duly authorized officers or
representatives."
14,"14. Binding Agreement. This Agreement shall be binding upon and inure to the
benefit of the parties hereto and their respective successors and permitted
assigns."
15,"15. Severability. It is the intent of the parties that in case any one or more of the
provisions contained in this Agreement shall be held to be invalid or
unenforceable in any respect, such provision shall be modified to the extent
necessary to render it, as modified, valid and enforceable under applicable laws,
and such invalidity or unenforceability shall not affect the other provisions of
this Agreement."
16,"16. Waiver. Waiver by either party of a breach of any provision of this Agreement,
shall not be deemed to be waiver of any preceding or succeeding breach of the
same or any other provision hereof."
17,"17. Survival. Both parties agree that all of their obligations undertaken herein with
respect to Confidential Information received pursuant to this Agreement shall
survive till perpetuity even after expiration or termination of this Agreement."
18,"18. Non-solicitation. During the term of this Agreement and thereafter for a
further period of two (2) years Auditor shall not solicit or attempt to solicit
Auditee’s employees and/or consultants, for the purpose of hiring/contract or
to proceed to conduct business similar to Auditee with any employee and/or
consultant of the Auditee who has knowledge of the Confidential Information,
without the prior written consent of Auditee."
19,"19. This Agreement is governed by and shall be construed in accordance with the
laws of India. In the event of dispute arising between the parties in connection
with the validity, interpretation, and implementation or alleged breach of any
provision of this Agreement, the parties shall attempt to resolve the dispute in
good faith by senior level negotiations. In case, any such difference or dispute is
not amicably resolved within forty five (45) days of such referral for
negotiations, it shall be resolved through arbitration process, wherein both the
parties will appoint one arbitrator each and the third one will be appointed by
the two arbitrators in accordance with the Arbitration and Conciliation Act,"
20,"1996. The venue of arbitration in India shall be (please choose the venue of
dispute resolution as the city) or where the services are provided. The
proceedings of arbitration shall be conducted in English language and the
arbitration award shall be substantiated in writing and binding on the parties.
The arbitration proceedings shall be completed within a period of one hundred
and eighty (180) days from the date of reference of the dispute to arbitration."
21,"20. Term. This Agreement shall come into force on the date of its signing by both the
parties and shall be valid up to one year.
IN WITNESS HEREOF, and intending to be legally bound, the parties have executed this
Agreement to make it effective from the date and year first written above.
# In case of auditee being Central Government Ministry/ Departments #
For & on behalf of President of India
(Name and designation of authorized signatory)
……………………………
<Name of Central Govt. Ministry/Department>
Or
# In case of auditee being State Government Department #
For & on behalf of Governor of ……. < State name>
………………………..
(Name and designation of authorized signatory)
<Name of State Department>
Or
# In case of Autonomous Societies/Not-for-profit-company/Public sector undertaking
/Private Sector #
For <Name of organization>, <Name and designation of authorized signatory> duly
authorized by rules & regulations / of <Name of society>/ vide resolution no. …. Dated
……. Of Board of Directors of ...........<Name of organization>.
(AUDITEE) (AUDITOR)
WITNESSES:"
